CANAL,PRODUTO,PONTOS,EXECUCAO
Padaria/Confeitaria,HEINEKEN LN 330ML: RGB/DESC,30,AMSTEL NO CARDÁPIO ou ADESIVO DE GELADEIRA
Padaria/Confeitaria,EISENBAHN LT 473ML: PIL/UNF,15,HEINEKEN NO CARDÁPIO ou ADESIVO DE GELADEIRA
Padaria/Confeitaria,AMSTEL LT 473ML,15,"HEINEKEN 0,0% NO CARDÁPIO ou ADESIVO DE GELADEIRA"
Padaria/Confeitaria,"HEINEKEN 0,0% LN 330ML",20,FYS NO CARDÁPIO ou ADESIVO DE GELADEIRA
Padaria/Confeitaria,FYS,20,ADESIVO DE GELADEIRA MULTIMARCAS
Armazém/Mercearia,HEINEKEIN LN 330ML: RGB/DESC,25,CARTAZ ou ADESIVO DE GELAD. AMSTEL
Armazém/Mercearia,EISENBAHN LT 473ML: PIL/UNF,15,CARTAZ ou ADESIVO DE GELAD. HEINEKEN
Armazém/Mercearia,HEINEKEN LT 473ML,20,"CARTAZ ou ADESIVO DE GELAD. HEINEKEN 0,0"
Armazém/Mercearia,AMSTEL LT 473ML,20,CARTAZ ou ADESIVO DE GELAD. FYS
Armazém/Mercearia,"HEINEKEN 0,0% LN 330ML",10,CARTAZ MULTIMARCAS
Armazém/Mercearia,FYS,10,ADESIVO DE GELADEIRA MULTIMARCAS
Adega,HEINEKEN RGB 600ML/CHOPP,25,FAIXA BAR ou CARTAZ DE ILHA AMSTEL
Adega,HEINEKEN LN 330ML: RGB/DESC,10,CARTAZ ILHA HEINEKEN
Adega,HEINEKEIN LT 350ML,5,CARTAZ MULTIMARCAS
Adega,HEINEKEN LT 473ML,10,
Adega,EISENBAHN 600ML: PIL/UNF,15,
Adega,EISENBAHN LT 473ML: PIL/UNF,5,
Adega,"AMSTEL RGB 1L, 600ML , CHOPP OU 300ML",20,
Adega,AMSTEL LT 473ML,10,
Lanchonete,HEINEKEN LN 330ML: RGB/DESC,30,CARTAZ ou CARTOP AMSTEL
Lanchonete,EISENBAHN LT 473ML: PIL/UNF,15,CARTAZ ou CARTOP FYS
Lanchonete,AMSTEL LT 473ML,15,AMSTEL NO CARDÁPIO
Lanchonete,"HEINEKEN 0,0% LN 330ML",20,HEINEKEN NO CARDÁPIO
Lanchonete,FYS,20,"HEINEKEN 0,0% NO CARDÁPIO"
Restaurante C/D,HEINEKEN RGB 600ML/CHOPP,20,"QUADRO, CARTAZ ou CARTOP AMSTEL"
Restaurante C/D,HEINEKEN LN 330ML: RGB/DESC,10,"QUADRO, CARTAZ ou CARTOP FYS"
Restaurante C/D,EISENBAHN 600ML: PIL/UNF,15,5 UNID. DE BALDE ou CERVEGELA AMSTEL
Restaurante C/D,"AMSTEL RGB: 1L, 600ML, CHOPP, 300ML",15,AMSTEL NO CARDÁPIO
Restaurante C/D,AMSTEL LN: 330ML/275ML(ULTRA),10,HEINEKEN NO CARDÁPIO
Restaurante C/D,AMSTEL LT 473ML,10,"HEINEKEN 0,0% NO CARDÁPIO"
Restaurante C/D,"HEINEKEN 0,0% LT 350ML",10,FYS NO CARDÁPIO
Restaurante C/D,FYS,10,
Restaurante A/B,BADEN 600ML ou CHOPP,10,LUMINOSO OU QUADRO BADEN
Restaurante A/B,PRAYA LN LAGER 330ML,10,LUMINOSO OU QUADRO HEINEKEN
Restaurante A/B,HEINEKEN RGB: 600 ou CHOPP,20,5 UNID. DE BALDE OU CERVEGELA BADEN
Restaurante A/B,HEINEKEN LN 330ML: RGB OU DESC,20,5 UNID. DE BALDE OU CERVEGELA HEINEKEN
Restaurante A/B,EISENBAHN LN 330ML: PIL/UNF,10,BADEN BADEN NO CARDÁPIO
Restaurante A/B,AMSTEL LN: 330ML/275ML(ULTRA),10,AMSTEL NO CARDÁPIO
Restaurante A/B,"HEINEKEN 0,0% LONG 330ML",10,HEINEKEN NO CARDÁPIO
Restaurante A/B,FYS,10,"HEINEKEN 0,0 NO CARDÁPIO"
Restaurante A/B,,,FYS NO CARDÁPIO
Bar C/D,HEINEKEN RGB: CHOPP OU 600ML,30,5 UNID. DE BALDE ou CERVEGELA AMSTEL
Bar C/D,HEINKEIN LT 473ML,10,"CARTOP, CARTAZ ou FAIXA BAR AMSTEL"
Bar C/D,EISENBAHN 600ML: PIL/UNF,10,CARTOP HEINEKEN
Bar C/D,EISENBAHN LATÃO 473ML: PIL/UNF,10,"CARTOP, CARTAZ ou FAIXA BAR FYS"
Bar C/D,"AMSTEL RGB: CHOPP, 1L, 600ML OU 300ML",20,
Bar C/D,AMSTEL LT 473ML,10,
Bar C/D,FYS,10,
Bar A/B,BADEN: 600ML ou CHOPP,5,LUMINOSO AMSTEL
Bar A/B,PRAYA LN 330ML LAGER,5,QUADRO HEINEKEN
Bar A/B,HEINEKEN RGB: 600ML ou CHOPP,25,5 UNID. DE BALDE AMSTEL
Bar A/B,HEINENEN LN 330ML: RGB OU DESC,10,5 UNID. DE CERVEGELA AMSTEL
Bar A/B,EISENBAHN 600ML PIL/UNF,15,BADEN NO CARDÁPIO
Bar A/B,"AMSTEL RGB: 1L, 600 ou CHOPP ou 300ML",20,HEINEKEN NO CARDÁPIO
Bar A/B,AMSTEL LN: 330ML/275ML(ULTRA),5,AMSTEL NO CARDÁPIO
Bar A/B,"HEINEKEN 0,0% LN 330ML",10,FYS NO CARDÁPIO
Bar A/B,FYS,5,
Entretenimento Espec.,HEINEKEN LN 330ML: RGB/DESC,40,HEINEKEN LN 330ML: RGB/DESC NO CARDÁPIO
Entretenimento Espec.,PRAYA LN 330ML,10,PRAYA LN 330ML NO CARDÁPIO
Entretenimento Espec.,AMSTEL LT 473ML,15,AMSTEL LT 473ML NO CARDÁPIO
Entretenimento Espec.,AMSTEL LN: 330ML/275ML(ULTRA),10,AMSTEL LN: 330ML/275ML(ULTRA) NO CARDÁPIO
Entretenimento Espec.,"HEINEKEN 0,0% LN 330ML",15,"HEINEKEN 0,0% LN 330ML NO CARDÁPIO"
Entretenimento Espec.,FYS,10,FYS NO CARDÁPIO
Loja de Conveniência,BADEN LT 350ML,5,"LUMINOSO HEINEKEN 0,0%"
Loja de Conveniência,BLUE MOON LT/LN,5,CAN BASE AMSTEL
Loja de Conveniência,PRAYA LN,5,CAN BASE BADEN
Loja de Conveniência,SOL LN,5,CAN BASE HEINEKEN
Loja de Conveniência,HEINEKEN LN 330ML: RGB/DESC,20,"CAN BASE HEINEKEN 0,0%"
Loja de Conveniência,HEINEKEN LT 473ML,15,CAN BASE FYS
Loja de Conveniência,HEINEKEIN SHOT 250ML,5,ADESIVO DE GELADEIRA AMSTEL
Loja de Conveniência,EISENBAHN LT 473ML: PIL/UNF,10,ADESIVO DE GELDEIRA BADEN
Loja de Conveniência,AMSTEL LT 473ML,10,ADESIVO DE GELADEIRA HEINEKEN
Loja de Conveniência,"HEINEKEN 0,0% LN 330ML",10,"ADESIVO DE GELADEIRA HEINEKEN 0,0%"
Loja de Conveniência,FYS,10,ADESIVO DE GELADEIRA FYS
Loja de Conveniência,,,ADEVISO DE GELADEIRA MULTIMARCAS
Mini A/B,BADEN LT 350ML,10,WOOBLER ou STOPPER
Mini A/B,PRAYA LN,10,CARTAZ ILHA
Mini A/B,HEINEKEN LN 330ML: RGB/DESC,25,DISPLAY/EXPOSITOR
Mini A/B,HEINEKEIN LT 350ML,15,CAPA DE PALLET ou BOBINA DE FORRAÇÃO
Mini A/B,EISENBAHN LT 473ML: PIL/UNF,10,
Mini A/B,AMSTEL LT 473ML,10,
Mini A/B,HEINEKEIN LN 0.0%,10,
Mini A/B,FYS,10,
Mini C/D,BADEN LT 350M,5,WOOBLER ou STOPPER
Mini C/D,SOL LN,5,CARTAZ ILHA
Mini C/D,HEINEKEN LN 330ML: RGB/DESC,25,DISPLAY/EXPOSITOR
Mini C/D,HEINEKEIN LT 473ML,15,CAPA DE PALLET ou BOBINA DE FORRAÇÃO
Mini C/D,EISENBAHN LT 473ML: PIL/UNF,10,
Mini C/D,AMSTEL LT 473ML,15,
Mini C/D,HEINEKEIN LT 0.0% 350ML,15,
Mini C/D,FYS,10,
Super A/B,BADEN LT 350ML,5,WOOBLER ou STOPPER
Super A/B,PRAYA LN,5,CARTAZ ILHA
Super A/B,HEINEKEIN LN 330ML: RGB/DESC,20,DISPLAY/EXPOSITOR
Super A/B,HEINEKEN LONG SHOT,5,CAPA DE PALLET ou BOBINA DE FORRAÇÃO
Super A/B,HEINEKEN LT 350ML,5,
Super A/B,HEINEKEN LT 473ML,10,
Super A/B,EISENBAHN LT 473ML: PIL/UNF,10,
Super A/B,EISENBAHN LT 350ML: PIL/UNF,5,
Super A/B,AMSTEL LT 473ML,10,
Super A/B,AMSTEL LT 350ML,5,
Super A/B,"HEINEKEN 0,0% LN 330ML",10,
Super A/B,FYS,10,
Super C/D,BADEN LT 350ML,5,WOOBLER ou STOPPER
Super C/D,SOL LN,5,CARTAZ ILHA
Super C/D,HEINEKEIN LN 330ML: RGB/DESC,20,DISPLAY/EXPOSITOR
Super C/D,HEINEKEN LONG SHOT,5,CAPA DE PALLET ou BOBINA DE FORRAÇÃO
Super C/D,HEINEKEN LT 350ML,5,
Super C/D,HEINEKEN LT 473ML,10,
Super C/D,EISENBAHN LT 473ML: PIL/UNF,10,
Super C/D,EISENBAHN LT 350ML: PIL/UNF,5,
Super C/D,AMSTEL LT 473ML,10,
Super C/D,AMSTEL LT 350ML,5,
Super C/D,"HEINEKEN 0,0% LT 350ML",10,
Super C/D,FYS,10,